CANDIDATE_ID,CANDIDATE_NAME,VERIFIED_PC_ID,COMMITTEE_NAME,COMMITTEE_CHAIR,COMMITTEE_TYPE
88747,Shane Abbott,79299,Prescription for Florida's Prosperity,Shane Abbott,Political Committee
88917,Jonathan Albert,84643,Friends of Jonathan Albert PC,Jonathan Albert,Political Committee
88816,Daniel Danny Alvarez,83561,Friends of Danny Alvarez,Danny Alvarez,Political Committee
89005,Jose Alvarez,83561,Friends of Danny Alvarez,Danny Alvarez,Political Committee
88741,Adam C. Anderson,79759,Floridians for Economic Prosperity,Adam Anderson,Political Committee
88940,Yoni Anijar,89219,Friends of Yoni Anijar,Yoni Anijar,Political Committee
89018,Cindy Banyai,84051,Pro Choice Florida Political Action Committee,Cindy Banyai,Political Committee
89609,Bruno A. Barreiro,74915,Transparency In Government PC,Bruno Barreiro,Political Committee
88924,Fabian Basabe,83579,Common Sense For Florida,Fabian Basabe,Political Committee
88927,Kimberly Kim Berfield,80981,Friends of Kim Berfield,"Kimberly ""Kim"" Berfield",Political Committee
88927,Kimberly Kim Berfield,88656,Pocotopaug 1915,Kimberly Berfield,Political Committee
88562,Mack Bernard,83980,Friends of Mack Bernard PC,Mack Bernard,Political Committee
90667,Tricia Berry,90803,Berry for Florida,Tricia Berry,Political Committee
89015,Omar Blanco,84721,Let's Get Back to Basics,Omar Blanco,Political Committee
88930,Anthony Bonna,83524,Treasure Coast Leadership Fund,Anthony Bonna,Political Committee
88758,Erika Booth,84005,Booth PAC,Richard Booth,Political Committee
88807,Adam Botana,85150,Boatwashers for Botana,Adam Botana,Political Committee
88807,Adam Botana,74419,Conservatives for Clean Water,Adam Botana,Political Committee
83587,Jim Boyd,61056,Building On Your Dreams Political Committee,Jim Boyd,Political Committee
83587,Jim Boyd,83605,Friends of Jim Boyd,Jim Boyd,Political Committee
83587,Jim Boyd,64386,"Florida Republican Senatorial Campaign Committee, Inc.",Jim Boyd,Affiliated Party Committee
89277,Nathan Boyles,88894,Boyles for Florida,Nathan Boyles,Political Committee
88804,Robert Brackett,83385,Friends of Robert Brackett,Robert Brackett,Political Committee
89961,Ben Braver,90257,Friends of Ben Braver,Ben Braver,Political Committee
83691,Jason Brodeur,79209,Citizens for Solutions,Jason Brodeur,Political Committee
83691,Jason Brodeur,79210,Freedom and Liberty Fund,Jason Brodeur,Political Committee
88908,James Buchanan,72679,Buchanan For Florida,James Buchanan,Political Committee
83614,Colleen Burton,70505,Friends of Colleen Burton,Colleen Burton,Political Committee
83774,Alexis Maria Calatayud,80728,Vision & Integrity for Florida,Alexis Calatayud,Political Committee
88751,Jennifer Canady,79996,Friends of Jennifer Canady,Jennifer Canady,Political Committee
92168,John Carroll,88615,True American Pac,John Carroll,Political Committee
88675,Hillary Cassel,88925,Balanced Leadership,Hillary Cassel,Political Committee
88675,Hillary Cassel,79268,Friends of Hillary Cassel,Hillary Cassel,Political Committee
88742,Linda Chaney,79225,Friends of Linda Chaney,Linda Chaney,Political Committee
88944,Nan Cobb,84407,Tractor PC,Nan Cobb,Political Committee
89690,Jay Collins,89373,Keep Florida Strong PC,Jay Collins,Political Committee
89690,Jay Collins,83324,Quiet Professionals FL,Jay Collins,Political Committee
89322,Jayden D'Onofrio,84472,Florida Future Leaders,Jayden D'Onofrio,Political Committee
89322,Jayden D'Onofrio,89321,Jayden For Florida,Jayden D'Onofrio,Political Committee
89399,Kimberly Daniels,88607,Generation Front Line,Kimberly Daniels,Political Committee
89012,Todd Delmay,89025,Delmay For Florida,Todd Delmay,Political Committee
89012,Todd Delmay,61569,"SAVE Action, PAC",Todd Delmay,Political Committee
83641,Nick Diceglie,83646,Friends of Nick DiCeglie,Nick Diceglie,Political Committee
89098,Emily Duda Buckley,88994,Fostering Florida's Future PC,Emily Buckley,Political Committee
88761,Tiffany Esposito,80727,Tiffany for Florida,Tiffany Esposito,Political Committee
89095,Jon Fay,89791,Friends of Jon Fay,Jon Fay,Political Committee
89557,Jorge Figueroa,83513,Working for Florida,Jorge Figueroa,Political Committee
89901,Jarod Fox,79732,Friends of Amira Fox,Amira Fox,Political Committee
89351,Wancito Francius,83559,Educating voters for a better Government,Wancito Francius,Political Committee
88845,Michael Mike Friend,90141,Florida's Friend,Michael Friend,Political Committee
83608,Ileana Garcia,89431,Friends of Luiz F F Garcia,Luiz Garcia,Political Committee
83608,Ileana Garcia,83741,Getting it Done for Florida,Ileana Garcia,Political Committee
83608,Ileana Garcia,74696,No More Socialism,Ileana Garcia,Political Committee
90323,Luis Garcia,89431,Friends of Luiz F F Garcia,Luiz Garcia,Political Committee
88904,Richard Gentry,84474,Friends of Richard Gentry,Richard Gentry,Political Committee
89537,Audrey Gibson,88916,Friends of Mindy Gibson,Mindy Gibson,Political Committee
83588,Kyle Kc Gibson,88916,Friends of Mindy Gibson,Mindy Gibson,Political Committee
88822,Mindy Gibson,88916,Friends of Mindy Gibson,Mindy Gibson,Political Committee
