AcctNum,Name,Type,TypeDesc,Addr1,Addr2,City,State,Zip,County,Phone,ChrNameLast,ChrNameFirst,ChrNameMiddle,TrsNameLast,TrsNameFirst,TrsNameMiddle
74932,Accountability in Government,ECO,Electioneering Communications Organization,3116 CORAL RIDGE DRIVE,,CORAL SPRINGS,FL,33065,Broward,9545938826,Rose,Amy,,Rose,Amy,
55417,"Accountability Watchdog, ECO",ECO,Electioneering Communications Organization,10680 PBA Memorial Boulevard,,Miami,FL,33172,Miami-Dade,3055930044,Stahl,Steadman,,Stahl,Steadman,
88575,Affordable Living Florida,ECO,Electioneering Communications Organization,2602 Lounsbury Court,,Kissimmee,FL,34746,Osceola,4072421870,Kaplan,Douglas,Joseph,Kaplan,Douglas,Joseph
54534,Common Sense,ECO,Electioneering Communications Organization,Post Office Box 1701,,Tallahassee,FL,323021701,Leon,8505674878,Herron,Mark,,Herron,Mark,
73856,Community Voice,ECO,Electioneering Communications Organization,Post Office Box 122,,Tallahassee,FL,32302,Leon,3056084300,Camara,Christian,,Camara,Christian,
88729,"Election Integrity Brigade of Miami-Dade County, Florida, Inc.",ECO,Electioneering Communications Organization,"5335 NW 87th Ave, Suite C-109",,Doral,FL,33178,Miami-Dade,3059022016,Vidal,Eduardo,,Williams,Sean,
88450,Family Focused Better Together,ECO,Electioneering Communications Organization,2330 Southwest Williston Road,Suite 611,Gainesville,FL,32608,Alachua,3253393216,Fink,Gregory,,Fink,Gregory,
88676,Florida True,ECO,Electioneering Communications Organization,2330 SW Williston Road,Suite 611,Gainesville,FL,32608,Alachua,3523393216,Fink,Greg,,Fink,Greg,
84351,Florida Votes Project,ECO,Electioneering Communications Organization,12865 West Dixie Highway,Suite 102,North Miami,FL,33161,Miami-Dade,3054699069,Hilliard,Randall,,Hilliard,Randall,
54504,Floridians for Fiscal Responsibility,ECO,Electioneering Communications Organization,Post Office Box 568926,,Orlando,FL,32856,Orange,4078589115,Dowless,John,,Dowless,John,
86792,Honesty and Integrity for Broward Citizens,ECO,Electioneering Communications Organization,1314 E. Las Olas Blvd,,Fort Lauderdale,FL,33301,Broward,9545938826,Rose,Amy,,Rose,Amy,
64730,"Keeping Citizens First, Inc.",ECO,Electioneering Communications Organization,9200 Belvedere Road,Suite 202,West Palm Beach,FL,33411,Palm Beach,5616899787,Asnani,Rick,,LeeBove,Kim,
83939,Leaders We Trust,ECO,Electioneering Communications Organization,4914 SW 72 Avenue,,Miami,FL,33155,Miami-Dade,3054450777,Gongora,Michael,,Riesco,Jose,A
55213,Nature Coast Conservatives,ECO,Electioneering Communications Organization,6352 Glasgow Drive,,Tallahassee,FL,32312,Leon,8504430243,Zubaly,Mark,,Zubaly,Mark,
69713,Pets Vote,ECO,Electioneering Communications Organization,308 NE 26th Drive,,Wilton Manors,FL,33334,Broward,9544456830,Donahue,Megan,,Donahue,Megan,
83720,Priestly Jackson For Neighbors,ECO,Electioneering Communications Organization,221 N HOGAN ST #506,,Jacksonville,FL,32202,Duval,9047120101,Jackson,Malik,Shabazz,Jackson,Malik,Shabazz
60740,Taxpayers for Public Integrity,ECO,Electioneering Communications Organization,2101 Vista Parkway,Suite 204,West Palm Beach,FL,33411,Broward,5613517869,Nelson,Francine,P.,Nelson,Francine,P.
54536,Voters Response,ECO,Electioneering Communications Organization,120 South Monroe Street,,Tallahassee,FL,32301,Leon,8507277087,Ramba,David,,Ramba,David,
83594,1199 Service Employees Int'l Union Federal Political Action Fund,IXO,Independent Expenditures Organization,c/o Alexander Rabb,"80 Eighth Ave, 8th Floor",New York,NY,100117175,,2126278100,Schaub,Helen,,,,
88737,AAPLOG Action,IXO,Independent Expenditures Organization,"1025 W. Rudisill Blvd, Box 28",,Fort Wayne,IN,46807,,2022300997,Weaver,Rebecca,,,,
60058,AARP Campaigns,IXO,Independent Expenditures Organization,999 Peachtree Street NE,,Atlanta,GA,30309,,8662957281,Brown,William,F.,,,
73750,American Cancer Society Cancer Action Network,IXO,Independent Expenditures Organization,"555 11th Street, NW",Suite 300,Washington,DC,20004,,9049073470,Hull,Paul,,Hull,Paul,
73817,"American Federation of State, County and Municipal Employees (AFSCME)",IXO,Independent Expenditures Organization,"1625 L Street, NW",,Washington,DC,200365687,,2024291000,McBride,Elissa,,,,
