candidate_id,name,office_full,party_full,incumbent_challenge_full
H4FL02112,"ABOUJAOUDE, ROCK ADEL MR. JR","House (District 12)|Citrus, Hernando, Pasco",DEMOCRATIC PARTY,Challenger
H4FL07137,"ADAMS, JENNIFER","House (District 7)|Seminole, Volusia",DEMOCRATIC PARTY,Challenger
H2FL21132,"ADEIMY, DEBORAH","House (District 23)|Broward, Palm Beach",REPUBLICAN PARTY,Challenger
H6FL03115,"ALBERS, TROY","House (District 3)|Alachua, Baker, Bradford, Columbia, Dixie, Gilchrist, Levy, Marion, Suwannee, Union",DEMOCRATIC PARTY,Challenger
H6FL19277,"ARIAS, VICTOR M.","House (District 19)|Collier, Lee",DEMOCRATIC PARTY,Open seat
H4FL27028,"ARIAS, VINCENT MICHAEL",House (District 27)|Miami-Dade,REPUBLICAN PARTY,Challenger
H2FL28038,"ASENCIO, ROBERT","House (District 28)|Miami-Dade, Monroe",DEMOCRATIC PARTY,Open seat
H2FL03197,"ASENSIO, MANUEL","House (District 6)|Flagler, Lake, Marion, Putnam, St. Johns, Volusia",REPUBLICAN PARTY,
H0FL19221,"ASKAR, CASEY","House (District 19)|Collier, Lee",REPUBLICAN PARTY,Open seat
H4FL26103,"ATKINS, JOEY DAVID","House (District 26)|Collier, Miami-Dade, Monroe",DEMOCRATIC PARTY,Challenger
S6FL00749,"ATKINS, JOEY MENDOZA",Senate|Statewide (All 67 Counties),DEMOCRATIC PARTY,Challenger
H6FL06233,"AUDINO, ERNEST CARL","House (District 6)|Flagler, Lake, Marion, Putnam, St. Johns, Volusia",REPUBLICAN PARTY,Challenger
H4FL27010,"BAEZ-GELLER, LUCIA",House (District 27)|Miami-Dade,DEMOCRATIC PARTY,Challenger
H4FL02138,"BAILEY, HUY-YEN CAM MS.","House (District 2)|Bay, Calhoun, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Lafayette, Leon, Liberty, Madison, Taylor, Wakulla, Washington",DEMOCRATIC PARTY,Open seat
H6FL06324,"BAKER, AARON","House (District 6)|Flagler, Lake, Marion, Putnam, St. Johns, Volusia",REPUBLICAN PARTY,Challenger
H6FL06241,"BAKER, AARON","House (District 6)|Flagler, Lake, Marion, Putnam, St. Johns, Volusia",REPUBLICAN PARTY,Challenger
H2FL18096,"BALDERRAMOS ROBINSON, CORINNA","House (District 21)|Martin, Palm Beach, St. Lucie",DEMOCRATIC PARTY,Challenger
H6FL06282,"BANGDIWALA, PURVA","House (District 6)|Flagler, Lake, Marion, Putnam, St. Johns, Volusia",NO PARTY AFFILIATION,Challenger
H4FL15205,"BARBOSA, JENNIFER MS.","House (District 15)|Hillsborough, Pasco, Polk",REPUBLICAN PARTY,Challenger
H2FL04211,"BEAN, AARON P.","House (District 4)|Clay, Duval, Nassau",REPUBLICAN PARTY,Incumbent
H4FL19090,"BENACQUISTO, LIZBETH","House (District 19)|Collier, Lee",REPUBLICAN PARTY,Open seat
H6FL09070,"BILIRAKIS, GUS M","House (District 12)|Citrus, Hernando, Pasco",REPUBLICAN PARTY,Incumbent
S4FL00736,"BONOAN, FEENA",Senate|Statewide (All 67 Counties),LIBERTARIAN PARTY,Challenger
H2FL14269,"BRADLEY, CHRISTOPHER","House (District 14)|Hillsborough, Pinellas",NONE,Challenger
H6FL22172,"BRANDA, PAOLA","House (District 23)|Broward, Palm Beach",REPUBLICAN PARTY,Challenger
H4FL18134,"BRAUNSTON, PETER ALAN MR","House (District 18)|Collier, DeSoto, Glades, Hardee, Hendry, Highlands, Okeechobee, Polk",DEMOCRATIC PARTY,Challenger
H6FL01457,"BRODEN, STEPHEN","House (District 1)|Escambia, Santa Rosa, Okaloosa, Walton",INDEPENDENT,Open seat
H6FL01440,"BRODEN, STEPHEN EDWARD","House (District 1)|Escambia, Santa Rosa, Okaloosa, Walton",INDEPENDENT,Open seat
H2FL10358,"BROWN, CORRINE",House (District 10)|Orange,DEMOCRATIC PARTY,Open seat
H6FL13148,"BUCHANAN, VERNON","House (District 16)|Hillsborough, Manatee",REPUBLICAN PARTY,Incumbent
H0FL11152,"BUNTYN, TONY","House (District 11)|Lake, Orange, Polk, Sumter",REPUBLICAN PARTY,Challenger
H2FL21082,"BUONGIORNO, JEFFREY D","House (District 21)|Martin, Palm Beach, St. Lucie",REPUBLICAN PARTY,Challenger
H6FL22156,"BURCK, DAVID","House (District 22)|Broward, Palm Beach",REPUBLICAN PARTY,Challenger
H0FL03175,"CAMMACK, KAT","House (District 3)|Alachua, Baker, Bradford, Columbia, Dixie, Gilchrist, Levy, Marion, Suwannee, Union",REPUBLICAN PARTY,Incumbent
H4FL20098,"CAMPBELL, LUTHER MR.","House (District 20)|Broward, Palm Beach",DEMOCRATIC PARTY,Challenger
S4FL00637,"CAMPBELL, STANLEY",Senate|Statewide (All 67 Counties),DEMOCRATIC PARTY,Challenger
