candidate_id,name,office_full,party_full,is_incumbent,receipts,disbursements,cash_on_hand_end_period,pac_money,loans
91527,Matthew Skeeter Abbott,"State Representative (District 55)|Glades, Highlands, Okeechobee",REP,N,0.0,32.1,2467.9,0.0,2500.0
88747,Shane Abbott,"State Representative (District 5)|Santa Rosa (Part), Okaloosa (Part)",REP,Y,130028.4,42321.14,87707.26,0.0,0.0
89084,Keith Abel,State Representative (District 98)|Indian River,DEM,N,2221.0,4571.41,194.59000000000015,0.0,2545.0
90433,Dean Ocean Abrams,Governor|Statewide (All 67 Counties),NPA,N,0.0,6538.61,961.79,0.0,7500.4
88917,Jonathan Albert,State Representative (District 48)|Osceola (Part),REP,Y,83400.0,16646.96,66753.04000000001,0.0,0.0
88816,Daniel Danny Alvarez,State Representative (District 69)|Lake (Part),REP,Y,105400.0,23421.78,81978.22,0.0,0.0
89005,Jose Alvarez,State Representative (District 46)|Orange (Part),DEM,Y,70850.0,48764.63,27085.370000000003,0.0,5000.0
89291,Jane Aman,State Representative (District 37)|Seminole (Part),DEM,N,60198.59,46220.7,14477.89,0.0,500.0
88741,Adam C. Anderson,State Representative (District 57)|Polk (Part),REP,Y,122685.0,39168.58,83516.42,0.0,0.0
90612,Kathy Anderson,Governor|Statewide (All 67 Counties),WRI,N,0.0,0.0,0.0,0.0,0.0
89796,Christopher Anger,State Representative (District 53)|Brevard (Part),CPF,N,100.0,1834.77,275.23,0.0,2010.0
88940,Yoni Anijar,"State Representative (District 100)|St. Lucie (Part), Martin (Part)",REP,N,36103.01,43698.58,227404.43,0.0,235000.0
89892,Robert Anzalone,State Representative (District 49)|Osceola (Part),DEM,N,2793.24,2449.65,343.5899999999997,0.0,0.0
89310,Lucia Baez-Geller,State Representative (District 106)|Palm Beach (Part),DEM,N,73035.76,138807.48,184228.28,0.0,250000.0
88832,Jessica Baker,State Representative (District 17)|Duval (Part),REP,Y,88478.1,8168.63,80309.47,0.0,0.0
90988,Mark Leland Baker,State Representative (District 23)|Clay (Part),DEM,N,144.66,1781.82,382.72,0.0,2019.88
90930,Jordyn Guadalupe Balderas,State Representative (District 34)|Volusia (Part),DEM,N,2435.0,2049.07,385.92999999999984,0.0,0.0
90808,Gerald Baldi,State Senator (District 20)|Hillsborough (Part),DEM,N,2485.0,112.72,2372.28,0.0,0.0
88861,Doug Bankson,"State Representative (District 39)|Orange (Part), Seminole (Part)",REP,Y,43467.05,21598.87,21868.180000000004,0.0,0.0
89018,Cindy Banyai,State Representative (District 78)|Hillsborough (Part),DEM,N,6117.0,5021.68,1525.37,0.0,430.05
88958,Webster Barnaby,State Representative (District 29)|St. Johns (Part),REP,Y,63313.76,9556.06,53757.700000000004,0.0,0.0
89609,Bruno A. Barreiro,State Representative (District 113)|Broward (Part),REP,N,19500.0,79045.08,40454.92,0.0,100000.0
90910,Doug Barrow,State Representative (District 94)|Lee (Part),NPA,N,7000.0,1526.49,5473.51,0.0,0.0
88901,Robin Bartleman,State Representative (District 103)|Palm Beach (Part),DEM,Y,112018.0,3573.98,108444.02,0.0,0.0
88924,Fabian Basabe,State Representative (District 106)|Palm Beach (Part),REP,Y,82350.0,69679.48,28670.520000000004,0.0,16000.0
92618,James Hunter Batley,"State Representative (District 10)|Washington, Holmes, Jackson, Calhoun, Liberty, Gadsden (Part)",WRI,N,0.0,0.0,0.0,0.0,0.0
89411,Bryan Beckman,State Representative (District 58)|Polk (Part),DEM,N,85366.26,16142.52,69223.73999999999,0.0,0.0
90287,Jason Bellamy-Fults,"State Senator (District 6)|Baker, Columbia (Part), Union, Bradford, Clay, Alachua (Part), Putnam (Part)",DEM,N,26056.24,19015.68,9337.580000000002,0.0,2297.02
88829,Yvette Benarroch,State Representative (District 81)|Hillsborough (Part),REP,Y,131725.0,11976.22,119748.78,0.0,0.0
88927,Kimberly Kim Berfield,State Representative (District 58)|Polk (Part),REP,Y,126650.0,65413.57,61236.43,0.0,0.0
88562,Mack Bernard,State Senator (District 24)|Pinellas (Part),DEM,Y,20975.0,4872.58,16102.42,0.0,0.0
90667,Tricia Berry,State Representative (District 6)|Okaloosa (Part),REP,N,222306.0,21090.5,201215.5,0.0,0.0
89868,Pamala Kaye Bivins,State Representative (District 52)|Brevard (Part),DEM,N,1308.41,203.9,1104.51,0.0,0.0
88827,Dean Black,"State Representative (District 15)|Nassau, Duval (Part)",REP,Y,99961.88,54172.11,95789.77,0.0,50000.0
89015,Omar Blanco,State Representative (District 115)|Broward (Part),REP,Y,120335.0,8764.83,111570.17,0.0,0.0
90390,Darryl Block,State Representative (District 36)|Seminole (Part),DEM,N,4835.77,6063.32,10272.45,0.0,11500.0
89649,Lisette Bonano,"State Representative (District 67)|Marion (Part), Lake (Part)",REP,N,910.0,571.01,338.99,0.0,0.0
88930,Anthony Bonna,State Representative (District 85)|Manatee (Part),REP,N,136125.94,31502.3,104623.64,0.0,0.0
88787,Lauren Book,State Senator (District 30)|Palm Beach (Part),DEM,N,247840.55,65340.56,207499.99,0.0,25000.0
88758,Erika Booth,"State Representative (District 35)|Orange (Part), Osceola (Part)",REP,Y,176652.2,54772.4,121879.80000000002,0.0,0.0
88807,Adam Botana,State Representative (District 80)|Hillsborough (Part),REP,Y,83700.0,28631.73,55068.270000000004,0.0,0.0
83587,Jim Boyd,State Senator (District 20)|Hillsborough (Part),REP,Y,110963.65,27016.51,83947.14,0.0,0.0
89647,Arthur Boyer,State Representative (District 82)|Hillsborough (Part),DEM,N,3165.41,2242.1,923.31,0.0,0.0
89277,Nathan Boyles,"State Representative (District 3)|Escambia (Part), Santa Rosa (Part)",REP,Y,23500.0,10949.9,12550.1,0.0,0.0
88804,Robert Brackett,State Representative (District 34)|Volusia (Part),REP,Y,63909.07,12991.02,50918.05,0.0,0.0
83480,Jennifer Bradley,"State Senator (District 6)|Baker, Columbia (Part), Union, Bradford, Clay, Alachua (Part), Putnam (Part)",REP,Y,129450.0,22140.75,107309.25,0.0,0.0
88929,Chase Brannan,"State Representative (District 10)|Washington, Holmes, Jackson, Calhoun, Liberty, Gadsden (Part)",REP,Y,178055.26,121802.49,56252.770000000004,0.0,0.0
89961,Ben Braver,"State Representative (District 65)|Citrus, Hernando (Part)",DEM,N,4110.0,3059.84,1050.1599999999999,0.0,0.0
83691,Jason Brodeur,"State Senator (District 10)|Volusia (Part), Seminole (Part)",REP,N,350390.69,233273.67,117117.01999999999,0.0,0.0
91555,Audrey Brooks,State Representative (District 78)|Hillsborough (Part),REP,N,1950.16,1804.42,4145.74,0.0,4000.0
88908,James Buchanan,State Senator (District 22)|Hillsborough (Part),REP,N,244480.26,105812.63,138667.63,0.0,0.0
92177,Jeff Buongiorno,"State Representative (District 89)|Charlotte (Part), Sarasota (Part)",REP,N,0.0,1781.82,118.18000000000006,0.0,1900.0
90630,Charles Burkett,Governor|Statewide (All 67 Counties),NPA,N,0.0,18523.16,231476.84,0.0,250000.0
83614,Colleen Burton,"State Senator (District 12)|Seminole (Part), Orange (Part)",REP,Y,132600.0,38664.2,93935.8,0.0,0.0
89989,James Bush Iii,State Representative (District 109)|Palm Beach (Part),DEM,N,7600.0,2131.82,6468.18,0.0,1000.0
90254,Cynthia L. Butler,State Representative (District 75)|Pinellas (Part),DEM,N,3955.0,2087.71,1867.29,0.0,0.0
90697,Lee Butler,State Representative (District 20)|Duval (Part),DEM,N,0.0,0.0,0.0,0.0,0.0
92524,Paul Bybee,State Representative (District 54)|Brevard (Part),WRI,N,0.0,0.0,0.0,0.0,0.0
92300,Steve Byers,State Representative (District 92)|Lee (Part),REP,N,0.0,1781.82,218.18000000000006,0.0,2000.0
83774,Alexis Maria Calatayud,State Senator (District 38)|Miami-Dade (Part),REP,Y,357197.0,60056.17,297140.83,0.0,0.0
89131,Daphne Campbell,State Representative (District 108)|Palm Beach (Part),DEM,N,13072.51,77227.56,46844.95,0.0,111000.0
88751,Jennifer Canady,"State Representative (District 50)|Brevaerd (Part), Orange (Part)",REP,Y,118350.0,14479.5,103870.5,0.0,0.0
92168,John Carroll,State Representative (District 53)|Brevard (Part),REP,N,7620.0,2117.04,8502.96,0.0,3000.0
91877,Jerry Carter,State Representative (District 48)|Osceola (Part),REP,N,5070.0,1781.82,3288.1800000000003,0.0,0.0
89856,Phillip Ray Carter,State Representative (District 76)|Hillsborough (Part),DEM,N,2835.0,2478.85,356.1500000000001,0.0,0.0
88675,Hillary Cassel,"State Representative (District 101)|Martin (Part), Palm Beach (Part)",REP,Y,146617.38,71401.37,75216.01000000001,0.0,0.0
90695,Armando A.C. Castillo,State Representative (District 118)|Broward (Part),DEM,N,300.0,3563.64,336.3600000000001,0.0,3600.0
89619,Evelyn Castillo-Bach,Governor|Statewide (All 67 Counties),DEM,N,6150.0,229.07,9920.93,0.0,4000.0
90824,Lloyd Caulker,"State Representative (District 15)|Nassau, Duval (Part)",WRI,N,0.0,0.0,0.0,0.0,0.0
91729,Isabella Cerqueira,State Representative (District 48)|Osceola (Part),DEM,N,0.0,1782.0,2.0,0.0,1784.0
88941,Ryan Chamberlin,"State Representative (District 24)|Bradford, Union, Baker, Columbia",REP,Y,103345.91,79068.65,24277.26000000001,0.0,0.0
88934,Kevin Chambliss,State Representative (District 117)|Broward (Part),DEM,Y,30190.0,19258.11,11281.89,0.0,350.0
88742,Linda Chaney,State Representative (District 61)|Pasco (Part),REP,Y,112965.26,22088.15,90877.10999999999,0.0,0.0
90007,Chadd Charland,"State Representative (District 15)|Nassau, Duval (Part)",NPA,N,8921.0,151.05,8769.95,0.0,0.0
89965,Daniel Lewis Cicirelli,State Representative (District 31)|Volusia (Part),DEM,N,3134.81,2766.2,393.6100000000001,0.0,25.0
90393,Tony Claude,State Representative (District 53)|Brevard (Part),DEM,N,760.0,4484.69,775.3100000000004,0.0,4500.0
88913,Tod Gordon Cloud,State Representative (District 23)|Clay (Part),REP,N,3790.0,3124.34,5665.66,0.0,5000.0
88944,Nan Cobb,State Representative (District 26)|Alachua (Part),REP,Y,102425.0,14337.65,88087.35,0.0,0.0
89633,Jacqueline Coffie-Leeks,State Representative (District 63)|Pasco (Part),DEM,N,24951.54,18130.36,6821.18,0.0,0.0
88803,Frank William Collige,Chief Financial Officer|Statewide (All 67 Counties),REP,N,15520.0,13328.7,2191.2999999999993,0.0,0.0
89690,Jay Collins,Governor|Statewide (All 67 Counties),REP,N,301136.01,194716.6,106419.41,0.0,0.0
88919,William Bill Conerly,State Representative (District 72)|Pinellas (Part),REP,Y,151750.0,59965.37,91784.63,0.0,0.0
88931,Michael Cruz,State Representative (District 46)|Orange (Part),REP,N,1855.0,2176.11,1821.94,0.0,2143.05
89322,Jayden D'Onofrio,State Representative (District 102)|Palm Beach (Part),DEM,N,59645.26,50803.99,33841.27000000001,0.0,25000.0
89399,Kimberly Daniels,"State Representative (District 14)|Jefferson, Madison, Taylor, Lafayette, Dixie, Gilchrist, Suwannee, Hamilton",DEM,Y,26540.0,3818.99,60721.01,0.0,38000.0
89047,Kyandra Darling,State Representative (District 62)|Pasco (Part),DEM,N,104635.73,102749.34,1886.3899999999994,0.0,0.0
89630,"Jeffrey Peter ""Dr. Jeff"" Datto",Governor|Statewide (All 67 Counties),NPA,N,5501.0,0.0,5501.0,0.0,0.0
92544,David Dj Dejesus,Governor|Statewide (All 67 Counties),WRI,N,0.0,0.0,0.0,0.0,0.0
89668,Michelle Dejesus,"State Representative (District 38)|Seminole (Part), Orange (Part)",DEM,N,1536.0,1101.77,434.23,0.0,0.0
89012,Todd Delmay,"State Representative (District 101)|Martin (Part), Palm Beach (Part)",DEM,N,154737.82,110469.37,44268.45000000001,0.0,0.0
89280,Richard Paul Dembinsky,Governor|Statewide (All 67 Counties),WRI,N,0.0,0.0,0.0,0.0,0.0
89587,Tony Diaz,State Representative (District 113)|Broward (Part),REP,N,45670.0,60392.71,-3222.709999999999,0.0,11500.0
83641,Nick Diceglie,State Senator (District 18)|Polk (Part),REP,Y,192909.32,120981.39,71927.93000000001,0.0,0.0
88529,Moliere Moe Dimanche,Governor|Statewide (All 67 Counties),NPA,N,820.0,7146.81,713.6099999999997,0.0,7040.42
91266,Lauren Donahoo,"State Senator (District 2)|Okaloosa (Part), Walton, Holmes, Washington, Bay, Jackson, Calhoun, Liberty, Gulf, Franklin, Gadsden (Part)",DEM,N,1948.65,0.0,1948.65,0.0,0.0
89042,Byron Donalds,Governor|Statewide (All 67 Counties),REP,N,9958184.68,4193152.3,5765032.38,0.0,0.0
89975,Sylvain Dore,State Representative (District 21)|Duval (Part),DEM,N,1615.0,3100.4,20014.6,0.0,21500.0
89305,Fentrice Driskell,State Senator (District 16)|Brevard,DEM,N,220530.55,158863.15,61917.399999999994,0.0,250.0
89098,Emily Duda Buckley,"State Representative (District 38)|Seminole (Part), Orange (Part)",REP,N,162070.0,57420.53,104649.47,0.0,0.0
90603,H. Alexander Duncan,"State Senator (District 10)|Volusia (Part), Seminole (Part)",DEM,N,1980.0,2101.72,-121.7199999999998,0.0,0.0
88664,Jervonte Tae Edmonds,State Representative (District 88)|Sarasota (Part),DEM,Y,63990.17,53278.04,10712.129999999997,0.0,0.0
90641,John Peter Emerling,State Representative (District 4)|Santa Rosa (Part),DEM,N,1004.6,233.43,1596.1699999999998,0.0,825.0
88725,Dinah J. Escarment,State Representative (District 108)|Palm Beach (Part),DEM,N,46687.76,22079.24,44608.520000000004,0.0,20000.0
88761,Tiffany Esposito,State Representative (District 77)|Hillsborough (Part),REP,Y,209475.0,54365.92,155109.08000000002,0.0,0.0
90327,Leigh Estes,State Representative (District 83)|Hillsborough (Part),DEM,N,1065.0,6406.36,742.6400000000003,0.0,6084.0
89095,Jon Fay,State Representative (District 2)|Escambia (Part),REP,N,134784.73,49724.43,85060.30000000002,0.0,0.0
90148,Michael Terence Ferguson,"State Representative (District 100)|St. Lucie (Part), Martin (Part)",DEM,N,35078.0,11334.96,56743.04,0.0,33000.0
89629,Thomas Eloy Fernandez,Governor|Statewide (All 67 Counties),DEM,N,50.0,17550.13,-8300.130000000001,0.0,9200.0
92426,Andy Ferrari,"State Representative (District 27)|Putnam, Marion (Part)",DEM,N,0.0,0.0,0.0,0.0,0.0
89853,Antione Fields,State Representative (District 21)|Duval (Part),DEM,N,17378.0,13853.34,3524.66,0.0,0.0
89557,Jorge Figueroa,"State Representative (District 47)|Orange (Part), Osceola (Part)",DEM,N,18798.0,16947.07,2050.9300000000003,0.0,200.0
89907,Kim Finer,State Representative (District 81)|Hillsborough (Part),DEM,N,15864.21,4043.1,11821.109999999999,0.0,0.0
90850,Alex Finney,"State Representative (District 5)|Santa Rosa (Part), Okaloosa (Part)",DEM,N,1882.0,1812.83,69.17000000000007,0.0,0.0
89600,James Fishback,Governor|Statewide (All 67 Counties),REP,N,542721.86,530811.11,11910.75,0.0,0.0
91268,Ocean Fitts,State Representative (District 71)|Pinellas (Part),DEM,N,675.0,1869.02,635.98,0.0,1830.0
90995,Earle Ford,Chief Financial Officer|Statewide (All 67 Counties),DEM,N,13744.25,13928.57,7815.68,0.0,8000.0
89353,Dayna Marie Foster,Governor|Statewide (All 67 Counties),DEM,N,19714.0,18918.87,795.130000000001,0.0,0.0
89334,Cornelius Fowler,State Representative (District 77)|Hillsborough (Part),DEM,N,1630.41,2324.06,481.3499999999999,0.0,1175.0
