candidate_id,pc_acct_num,pc_name
88747,79299,Prescription for Florida's Prosperity
88917,84643,Friends of Jonathan Albert PC
88741,79759,Floridians for Economic Prosperity
88940,89219,Friends of Yoni Anijar
89018,84051,Pro Choice Florida Political Action Committee
89609,74915,Transparency In Government PC
88924,83579,Common Sense For Florida
88927,88656,Pocotopaug 1915
88562,83980,Friends of Mack Bernard PC
90667,90803,Berry for Florida
89015,84721,Let's Get Back to Basics
88930,83524,Treasure Coast Leadership Fund
88807,85150,Boatwashers for Botana
88807,74419,Conservatives for Clean Water
83587,61056,Building On Your Dreams Political Committee
83587,83605,Friends of Jim Boyd
83587,64386,"Florida Republican Senatorial Campaign Committee, Inc."
89277,88894,Boyles for Florida
88804,83385,Friends of Robert Brackett
89961,90257,Friends of Ben Braver
83691,79209,Citizens for Solutions
83691,79210,Freedom and Liberty Fund
88908,72679,Buchanan For Florida
83614,70505,Friends of Colleen Burton
83774,80728,Vision & Integrity for Florida
88751,79996,Friends of Jennifer Canady
92168,88615,True American Pac
88675,88925,Balanced Leadership
88675,79268,Friends of Hillary Cassel
88742,79225,Friends of Linda Chaney
88944,84407,Tractor PC
89690,89373,Keep Florida Strong PC
89690,83324,Quiet Professionals FL
89322,84472,Florida Future Leaders
89322,89321,Jayden For Florida
89399,88607,Generation Front Line
89012,89025,Delmay For Florida
89012,61569,"SAVE Action, PAC"
83641,83646,Friends of Nick DiCeglie
89098,88994,Fostering Florida's Future PC
88761,80727,Tiffany for Florida
89095,89791,Friends of Jon Fay
89557,83513,Working for Florida
89351,83559,Educating voters for a better Government
88845,90141,Florida's Friend
83608,83741,Getting it Done for Florida
83608,74696,No More Socialism
88904,84474,Friends of Richard Gentry
88822,88916,Friends of Mindy Gibson
89107,89362,Conservatives for Florida Agriculture
90478,90648,Friends of Miguel Granda
88774,84595,First Coast Conservative Coalition
89346,91236,Brevard Conservative Coalition
89255,89118,Friends of Brian Hodgers
90249,89563,Friends of Hilary Holley
88864,89190,Hyatt for Florida
89394,79506,Friends of Blaise Ingoglia
89394,70076,Government Gone Wild PAC
90874,88716,Choices of Integrity
90874,81501,Community Inclusion Committee
90874,88876,Momentum Jax
88915,85513,Friends of Jennifer Kincart Jonsson
92056,74707,Victory Now
88856,79753,Friends of Traci Koster
89608,89653,Friends of Frank Lago
89888,91194,Friends of Mark Lightner
89636,89437,Friends of Amaro Lionheart
89265,89409,Make Manatee Great Again PC
89640,89020,Long Lasting Progress PC
88844,61310,PASCO PAC
89211,89262,Allegiance To Democracy
90025,89143,Friends of Jon Maples
89344,89762,For God and Country
89031,75035,Friends of Lauren Melo
91755,89139,MGTOW Party
88815,83990,Friends of Monique Miller
90006,91788,Friends of Brian Nathan
89602,93196,Friends of Judy Ngying
88877,89592,Friends of Les Nichols
88945,85882,Friends of Vanessa Oliver
88933,88935,Friends of Nick Pachota
88897,83911,Freedom on the Move
89395,89406,Friends of Jennifer Winkler
89022,79137,Friends of Rachel Plakon
89129,81066,Conservatives For A Better Miami-Dade
89720,89753,Friends of Robert Prater
89380,89449,Friends of Liesa Priddy
88952,89136,Friends of Marshall Rawson
83549,70258,Ethics and Honesty in Government
84457,70317,Palm Beach Prosperity Fund
90010,90081,Friends of Jonathan Rubin
91780,93192,Friends of Melissa Rutland
88746,78984,Committee to Protect Northwest Florida
88746,88866,Friends of Michelle Salzman
88818,83717,Friends of Judson Sapp
90560,74435,Florida Green PAC
90560,79644,Friends of Wilton Simpson
90560,74437,Future Florida
90560,88885,Home Grown PAC
89106,89108,Friends of Jason Paul Smith
88750,78949,John Snyder for Florida
91310,91195,Friends of Annette Taddeo PC
88972,89366,Friends of Debra Tendrich
90135,73841,Florida Farmers and Ranchers United
90135,89569,Friends of Josie Tomkow
88745,79273,Friends of Dana Trabulsy
88745,80691,St. Lucie Strong
88777,80401,Faith Family Freedom Coalition
89041,89007,Friends of James Uthmeier
90979,89671,Florida For Life PC
89309,89347,Protecting Manatee Values
88962,89438,Friends Of Chris Vincent
89468,89441,Friends of Kelly Ann Walker
91644,91790,Weldon for Florida
88879,79363,Lake County Conservatives
88918,83551,Yeager For Florida
